MDSCHEMA_DIMENSIONS 0xC8B522D9, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IADsDomain 0x00E4C220, 0xFD16, 0x11CE, 0xAB, 0xC4, 0x02, 0x60, 0x8C, 0x9E, 0x75, 0x53
DBSCHEMA_COLUMN_PRIVILEGES 0xC8B52221, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
DBSCHEMA_SQL_LANGUAGES 0xC8B52226, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
IID_IDirectorySchemaMgmt 0x75DB3B9C, 0xA4D8, 0x11D0, 0xA7, 0x9C, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0xA8
IID_IADsMembers 0x451A0030, 0x72EC, 0x11CF, 0xB0, 0x3B, 0x00, 0xAA, 0x00, 0x6E, 0x09, 0x75
IID_IUmiADSIPrivate 0xCFCECB01, 0x3123, 0x4926, 0xB5, 0xE3, 0x62, 0x78, 0x08, 0x27, 0x26, 0x43
DBPROPSET_COLUMN 0xC8B522B9, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
CLSID_UmiLDAPQueryObject 0xCD5D4D76, 0xA818, 0x4F95, 0xB9, 0x58, 0x79, 0x70, 0xFD, 0x94, 0x12, 0xCA
IID_IADsFileService 0xA89D1900, 0x31CA, 0x11CF, 0xA9, 0x8A, 0x00, 0xAA, 0x00, 0x6B, 0xC1, 0x49
IID_IADs 0xFD8256D0, 0xFD15, 0x11CE, 0xAB, 0xC4, 0x02, 0x60, 0x8C, 0x9E, 0x75, 0x53
GUID_PROCESSOR_PARKING_DISTRIBUTION_THRESHOLD 0x4BDAF4E9, 0xD103, 0x46D7, 0xA5, 0xF0, 0x62, 0x80, 0x12, 0x16, 0x16, 0xEF
DBGUID_SESSION 0xC8B522F5, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_CLASS0_FLOOR_PERF 0xFDDC842B, 0x8364, 0x4EDC, 0x94, 0xCF, 0xC1, 0x7F, 0x60, 0xDE, 0x1C, 0x80
CLSID_OLEDB_CONVERSIONLIBRARY 0xC8B522D1, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_MONITOR_POWER_ON 0x02731015, 0x4510, 0x4526, 0x99, 0xE6, 0xE5, 0xA1, 0x7E, 0xBD, 0x1A, 0xEA
MDSCHEMA_ACTIONS 0xA07CCD08, 0x8148, 0x11D0, 0x87, 0xBB, 0x00, 0xC0, 0x4F, 0xC3, 0x39, 0x42
DBGUID_DBSQL 0xC8B521FB, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
FIREWALL_PORT_CLOSE_GUID 0xA144ED38, 0x8E12, 0x4DE4, 0x9D, 0x96, 0xE6, 0x47, 0x40, 0xB1, 0xA5, 0x24
GUID_PROCESSOR_PERF_HISTORY_1 0x7D24BAA7, 0x0B84, 0x480F, 0x84, 0x0C, 0x1B, 0x07, 0x43, 0xC0, 0x0F, 0x60
GUID_PROCESSOR_IDLE_DISABLE 0x5D76A2CA, 0xE8C0, 0x402F, 0xA1, 0x33, 0x21, 0x58, 0x49, 0x2D, 0x58, 0xAD
GUID_BATTERY_DISCHARGE_FLAGS_2 0x7FD2F0C4, 0xFEB7, 0x4DA3, 0x81, 0x17, 0xE3, 0xFB, 0xED, 0xC4, 0x65, 0x82
IID_IADsPrintJobOperations 0x9A52DB30, 0x1ECF, 0x11CF, 0xA9, 0x88, 0x00, 0xAA, 0x00, 0x6B, 0xC1, 0x49
DBSCHEMA_TABLE_CONSTRAINTS 0xC8B5221A, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_IDLESTATE_POLICY 0x68F262A7, 0xF621, 0x4069, 0xB9, 0xA5, 0x48, 0x74, 0x16, 0x9B, 0xE2, 0x3C
GUID_PROCESSOR_CORE_PARKING_INCREASE_TIME 0x2DDD5A84, 0x5A71, 0x437E, 0x91, 0x2A, 0xDB, 0x0B, 0x8C, 0x78, 0x87, 0x32
GUID_PROCESSOR_CORE_PARKING_MAX_CORES 0xEA062031, 0x0E34, 0x4FF1, 0x9B, 0x6D, 0xEB, 0x10, 0x59, 0x33, 0x40, 0x28
CLSID_NameTranslate 0x274FAE1F, 0x3626, 0x11D1, 0xA3, 0xA4, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
IID_IADsHold 0xB3EB3B37, 0x4080, 0x11D1, 0xA3, 0xAC, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
GUID_POWERBUTTON_ACTION 0x7648EFA3, 0xDD9C, 0x4E3E, 0xB5, 0x66, 0x50, 0xF9, 0x29, 0x38, 0x62, 0x80
IID_IADsValue 0x1E3EF0AA, 0xAEF5, 0x11D0, 0x85, 0x37, 0x00, 0xC0, 0x4F, 0xD8, 0xD5, 0x03
DBPROPSET_INDEXALL 0xC8B522F1, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
DBSCHEMA_VIEWS 0xC8B5222D, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
